phase,seed,decision,initial_bucket,action,reward,next_bucket,variant_a,Q_before_farm,Q_before_return,Q_after_farm,Q_after_return,dist_before,dist_after
AFTER,777,9,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.1,81.1
AFTER,777,10,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.1,81.1
AFTER,777,11,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.1,81.1
AFTER,777,12,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,loot,0.05,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.1,81.1
AFTER,777,13,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,-5.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,-0.5486,-1.2773,-0.5486,-1.2773,81.1,26.9
AFTER,1234,0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,1234,1,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,sell_junk,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,1234,2,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,0.0,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,1234,3,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=1|combat=0,accept_quest,-5.0,hp=crit|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=1|far=1|combat=0,True,-0.5486,-1.2773,-0.5486,-1.2773,81.7,81.7
AFTER,1234,4,hp=crit|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=1|far=1|combat=0,accept_quest,1.096,hp=full|qs=ACTIVE|mob=1|corpse=1|junk=1|danger=0|far=0|combat=0,False,0.0,0.0,0.0,0.0,81.7,26.9
